frame,global_rmsd,core_rmsd
318,5.117,2.449
319,5.122,2.548
320,5.179,2.574
321,5.233,2.510
322,5.176,2.489
323,5.448,2.489
324,5.469,2.517
325,5.441,2.397
326,5.330,2.337
327,5.454,2.473
328,5.509,2.246
329,5.672,2.460
330,5.890,2.301
331,5.652,2.250
332,5.732,2.232
333,5.919,2.282
334,5.828,2.281
335,5.854,2.309
336,5.816,2.441
337,5.702,2.239
338,5.801,2.253
339,5.882,2.225
340,6.032,2.244
341,6.198,2.426
342,6.073,2.212
343,6.252,2.413
344,6.228,2.267
345,6.148,2.293
346,6.140,2.418
347,6.185,2.326
348,6.129,2.407
349,6.351,2.437
350,6.104,2.391
351,6.239,2.352
352,6.083,2.343
353,6.379,2.306
354,6.292,2.402
355,6.363,2.511
356,6.371,2.279
357,6.384,2.362
358,6.376,2.279
359,6.625,2.305
360,6.629,2.290
361,6.606,2.445
362,6.593,2.410
363,6.589,2.415
364,6.571,2.465
365,6.708,2.534
366,6.758,2.498
367,6.821,2.489
368,6.836,2.553
369,7.011,2.501
370,6.901,2.438
371,7.025,2.504
372,7.129,2.595
373,7.104,2.548
374,6.965,2.592
375,7.204,2.347
376,7.037,2.537
377,7.175,2.458
378,7.204,2.483
379,7.236,2.421
380,7.287,2.531
381,7.316,2.616
382,7.144,2.458
383,7.094,2.350
384,7.230,2.353
385,6.962,2.319
386,6.857,2.306
387,7.045,2.344
388,6.962,2.349
389,6.837,2.334
390,6.866,2.398
391,6.987,2.335
392,7.076,2.380
393,7.243,2.517
394,7.254,2.577
395,7.506,2.702
396,7.283,2.596
397,7.369,2.726
398,7.348,2.485
399,7.512,2.425
400,7.456,2.402
401,7.600,2.545
402,7.427,2.507
403,7.523,2.451
404,7.485,2.385
405,7.314,2.474
406,7.291,2.445
407,7.161,2.489
408,7.081,2.616
409,7.123,2.575
410,7.110,2.516
411,7.221,2.486
412,7.049,2.529
413,7.355,2.555
414,7.559,2.634
415,7.664,2.651
416,7.513,2.593
417,7.376,2.383
418,7.493,2.367
419,7.186,2.300
420,7.212,2.256
421,7.378,2.429
422,7.394,2.420
423,7.465,2.432
424,7.390,2.492
425,7.379,2.376
426,7.398,2.352
427,7.171,2.327
428,7.005,2.378
429,6.949,2.408
430,7.064,2.410
431,7.107,2.356
432,7.268,2.304
433,7.233,2.289
434,7.092,2.312
435,7.322,2.370
436,7.368,2.408
437,7.389,2.440
438,7.514,2.605
439,7.455,2.554
440,7.250,2.547
441,7.219,2.660
442,7.158,2.540
443,7.058,2.489
444,7.381,2.532
445,7.394,2.497
446,7.354,2.718
447,7.258,2.634
448,7.274,2.521
449,7.158,2.537
450,7.395,2.628
451,7.247,2.712
