frame,global_rmsd,core_rmsd
318,4.768,2.382
319,4.686,2.412
320,4.669,2.326
321,4.776,2.399
322,4.494,2.311
323,4.540,2.304
324,4.503,2.315
325,4.560,2.336
326,4.535,2.299
327,4.500,2.251
328,4.567,2.335
329,4.621,2.398
330,4.582,2.320
331,4.485,2.266
332,4.640,2.330
333,4.599,2.351
334,4.695,2.408
335,4.749,2.343
336,4.898,2.458
337,4.904,2.289
338,4.864,2.325
339,4.689,2.407
340,4.810,2.429
341,4.750,2.397
342,4.583,2.406
343,4.570,2.328
344,4.549,2.420
345,4.601,2.303
346,4.627,2.435
347,4.725,2.399
348,4.813,2.409
349,4.845,2.580
350,4.758,2.472
351,4.783,2.374
352,4.877,2.569
353,4.882,2.463
354,4.860,2.467
355,4.773,2.381
356,4.891,2.446
357,4.961,2.380
358,5.079,2.484
359,5.157,2.508
360,5.039,2.426
361,5.122,2.448
362,5.128,2.493
363,5.129,2.505
364,5.174,2.460
365,5.154,2.445
366,5.110,2.437
367,5.123,2.473
368,5.231,2.412
369,5.301,2.382
370,5.258,2.405
371,5.224,2.419
372,5.138,2.324
373,5.176,2.398
374,5.162,2.420
375,5.344,2.442
376,5.250,2.411
377,5.313,2.394
378,5.336,2.440
379,5.399,2.532
380,5.506,2.523
381,5.526,2.535
382,5.527,2.536
383,5.515,2.533
384,5.617,2.593
385,5.526,2.554
386,5.486,2.424
387,5.462,2.413
388,5.557,2.401
389,5.519,2.419
390,5.542,2.446
391,5.191,2.316
392,5.234,2.409
393,5.295,2.409
394,5.488,2.499
395,5.442,2.410
396,5.413,2.482
397,5.458,2.441
398,5.229,2.428
399,5.403,2.384
400,5.359,2.334
401,5.227,2.314
402,5.084,2.337
403,5.223,2.389
404,5.156,2.375
405,5.290,2.397
406,5.280,2.297
407,5.258,2.421
408,5.316,2.306
409,5.221,2.334
410,5.381,2.472
411,5.464,2.413
412,5.399,2.328
413,5.422,2.335
414,5.539,2.439
415,5.513,2.497
416,5.491,2.468
417,5.583,2.479
418,5.367,2.430
419,5.301,2.333
420,5.517,2.428
421,5.449,2.399
422,5.247,2.337
423,5.339,2.345
424,5.423,2.378
425,5.283,2.375
426,5.485,2.309
427,5.625,2.337
428,5.776,2.332
429,6.106,2.422
430,6.092,2.310
431,6.100,2.407
432,5.973,2.413
433,5.670,2.353
434,5.724,2.368
435,5.832,2.285
436,5.775,2.341
437,5.676,2.351
438,5.597,2.365
439,5.480,2.420
440,5.693,2.363
441,5.638,2.286
442,5.778,2.421
443,5.840,2.400
444,5.783,2.457
445,6.136,2.403
446,6.183,2.410
447,6.248,2.396
448,6.264,2.380
449,6.202,2.368
450,6.203,2.445
451,6.210,2.431
452,6.182,2.459
453,6.161,2.319
454,5.990,2.297
455,5.970,2.352
456,5.978,2.252
457,5.960,2.325
458,5.793,2.278
459,5.785,2.221
460,5.823,2.284
461,5.796,2.302
462,5.866,2.309
463,5.951,2.280
464,6.023,2.264
465,5.995,2.231
466,6.041,2.205
467,6.035,2.266
468,6.024,2.276
469,6.303,2.284
470,6.283,2.236
471,6.442,2.219
472,6.399,2.252
473,6.529,2.153
474,6.622,2.112
475,6.564,2.259
476,6.532,2.145
477,6.646,2.070
478,6.609,2.039
479,6.516,2.123
480,6.632,2.106
481,6.772,2.192
482,6.819,2.244
483,6.626,2.185
484,6.872,2.207
485,6.644,2.195
486,6.643,2.224
487,6.539,2.152
488,6.715,2.236
489,6.511,2.235
490,6.663,2.240
491,6.754,2.159
492,6.427,2.124
493,6.290,2.094
494,6.401,2.097
495,6.450,2.163
496,6.462,2.215
497,6.558,2.245
498,6.315,2.256
499,6.246,2.269
500,6.348,2.188
501,6.289,2.249
502,6.078,2.132
503,6.280,2.236
504,6.042,2.188
505,6.180,2.158
506,6.470,2.172
507,6.340,2.181
508,6.405,2.195
509,6.235,2.269
510,6.134,2.130
511,6.307,2.162
512,6.312,2.148
513,6.558,2.179
514,6.589,2.182
515,6.629,2.122
516,6.553,2.212
517,6.599,2.113
518,6.971,2.233
519,7.217,2.230
520,7.158,2.291
521,7.121,2.341
522,7.346,2.352
523,7.330,2.322
524,7.438,2.306
525,7.313,2.287
526,7.423,2.368
527,7.448,2.328
528,7.395,2.360
529,7.450,2.275
530,7.511,2.294
531,7.419,2.316
532,7.524,2.303
533,7.576,2.324
534,7.618,2.415
535,7.399,2.335
536,7.240,2.393
537,7.284,2.437
538,7.108,2.351
539,7.146,2.373
540,7.087,2.389
541,7.224,2.433
542,7.023,2.383
543,6.953,2.379
544,6.813,2.327
545,6.939,2.443
546,6.822,2.490
547,6.995,2.432
548,7.069,2.486
549,6.983,2.419
550,7.003,2.340
551,7.193,2.497
552,7.198,2.462
553,7.177,2.425
554,7.332,2.358
555,7.364,2.409
556,7.424,2.488
557,7.366,2.458
558,7.133,2.457
559,7.022,2.509
560,6.845,2.434
561,6.940,2.523
562,6.934,2.541
563,6.801,2.530
564,6.797,2.497
565,6.936,2.516
566,6.825,2.469
567,6.952,2.478
568,6.963,2.513
569,7.044,2.552
570,6.907,2.493
571,6.829,2.474
572,6.941,2.549
573,6.835,2.521
574,6.980,2.437
575,6.803,2.500
576,6.913,2.521
577,6.783,2.521
578,6.584,2.351
579,6.525,2.378
580,6.574,2.396
581,6.622,2.388
582,6.618,2.405
583,6.625,2.488
584,6.778,2.491
585,6.777,2.586
586,6.800,2.614
587,6.731,2.617
588,6.725,2.571
